# 大きい,小さい
# ペンギン > 白鳥 > ふくろう > にわとり > すずめ
ペンギン,1,白鳥,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > 白鳥 > すずめ > にわとり > ふくろう
ペンギン,1,白鳥,2,すずめ,3,にわとり,4,ふくろう,5
# ヘルシーだ,ヘルシーでない
# もやし > 白菜 > きゅうり > ほうれん草 > ナス > 玉ねぎ > かぼちゃ
もやし,1,白菜,2,きゅうり,3,ほうれん草,4,ナス,5,玉ねぎ,6,かぼちゃ,7
# 美味しい,不味い
# 玉ねぎ > ほうれん草 > かぼちゃ > もやし > ナス > 白菜 > きゅうり
玉ねぎ,1,ほうれん草,2,かぼちゃ,3,もやし,4,ナス,5,白菜,6,きゅうり,7
# 甘い,甘くない
# メロン > りんご > みかん > ぶどう > 柿 > イチゴ > さくらんぼ
メロン,1,りんご,2,みかん,3,ぶどう,4,柿,5,イチゴ,6,さくらんぼ,7
# 大きい,小さい
# メロン > りんご > ぶどう > 柿 > みかん > イチゴ > さくらんぼ
メロン,1,りんご,2,ぶどう,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > ライオン > 熊 > クジラ > ネズミ
犬,1,ライオン,2,熊,3,クジラ,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン >> 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# サファイア > オパール > パール > ターコイズ > ガーネット
サファイア,1,オパール,2,パール,3,ターコイズ,4,ガーネット,5
# 珍しい,珍しくない
# ターコイズ > サファイア > オパール > パール > ガーネット
ターコイズ,1,サファイア,2,オパール,3,パール,4,ガーネット,5
# 優雅だ,優雅でない
# ヴァイオリン > ハープ > クラリネット > フルート > チェロ
ヴァイオリン,1,ハープ,2,クラリネット,3,フルート,4,チェロ,5
# 心地よい,不快だ
# ヴァイオリン > クラリネット > フルート > チェロ > ハープ
ヴァイオリン,1,クラリネット,2,フルート,3,チェロ,4,ハープ,5
# 綺麗だ,醜い
# サクラ > ひまわり > すずらん > たんぽぽ > 桔梗
サクラ,1,ひまわり,2,すずらん,3,たんぽぽ,4,桔梗,5
# 好きだ,嫌いだ
# サクラ > ひまわり > たんぽぽ > すずらん > 桔梗
サクラ,1,ひまわり,2,たんぽぽ,3,すずらん,4,桔梗,5
# 美味しい,不味い
# ドトール > コメダ > サンマルク > ルノアール > タリーズ
ドトール,1,コメダ,2,サンマルク,3,ルノアール,4,タリーズ,5
# 高い,安い
# ドトール > コメダ > サンマルク > ルノアール > タリーズ
ドトール,1,コメダ,2,サンマルク,3,ルノアール,4,タリーズ,5
# 好調だ,不調だ
# パナソニック > 日立製作所 > 富士通 > エプソン > キャノン >> ソニー >> 東芝
パナソニック,1,日立製作所,2,富士通,3,エプソン,4,キャノン,5,ソニー,6,東芝,7
# 新しい,古い
# パナソニック > エプソン > キャノン > 日立製作所 > 富士通 > ソニー > 東芝
パナソニック,1,エプソン,2,キャノン,3,日立製作所,4,富士通,5,ソニー,6,東芝,7
# 裕福だ,貧乏だ
# 中国 > アメリカ > イギリス > タイ > ロシア > インド > スペイン
中国,1,アメリカ,2,イギリス,3,タイ,4,ロシア,5,インド,6,スペイン,7
# 広大だ,せまい
# 中国 > ロシア > アメリカ >> インド > タイ > スペイン > イギリス
中国,1,ロシア,2,アメリカ,3,インド,4,タイ,5,スペイン,6,イギリス,7
# 暖かい,寒い
# タイ > インド > アメリカ > 中国 > スペイン > イギリス > ロシア
タイ,1,インド,2,アメリカ,3,中国,4,スペイン,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ > マツダ > ダイハツ > ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 有名だ,無名だ
# トヨタ > ホンダ > マツダ > ダイハツ > ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 美味しい,不味い
# ビール >> チューハイ > ハイボール > 日本酒 > ウイスキー
ビール,1,チューハイ,2,ハイボール,3,日本酒,4,ウイスキー,5
# 高価だ,安価だ
# ウイスキー > 日本酒 >> ビール > ハイボール > チューハイ
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
# カレー > ラーメン > チャーハン > ハンバーガー > ピザ
カレー,1,ラーメン,2,チャーハン,3,ハンバーガー,4,ピザ,5
# 脂っこい,脂っこくない
# ラーメン > ハンバーガー > チャーハン > カレー > ピザ
ラーメン,1,ハンバーガー,2,チャーハン,3,カレー,4,ピザ,5
# 高価だ,安価だ
# カーナビ > エアコン > カメラ > 洗濯機 > プリンタ
カーナビ,1,エアコン,2,カメラ,3,洗濯機,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > プリンタ > エアコン > カーナビ > カメラ
洗濯機,1,プリンタ,2,エアコン,3,カーナビ,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 雪 > 雨 > 強風 > 霜 > 霧 > 雷
