# 大きい,小さい
# ペンギン > 白鳥 > ふくろう > にわとり > すずめ
ペンギン,1,白鳥,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# すずめ > ペンギン > ふくろう > 白鳥 >> にわとり
すずめ,1,ペンギン,2,ふくろう,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# きゅうり > もやし >> 玉ねぎ > ナス > 白菜 > ほうれん草 > かぼちゃ
きゅうり,1,もやし,2,玉ねぎ,3,ナス,4,白菜,5,ほうれん草,6,かぼちゃ,7
# 美味しい,不味い
# かぼちゃ > ほうれん草 > 玉ねぎ > ナス > 白菜 > きゅうり > もやし
かぼちゃ,1,ほうれん草,2,玉ねぎ,3,ナス,4,白菜,5,きゅうり,6,もやし,7
# 甘い,甘くない
# メロン > さくらんぼ > 柿 > りんご > ぶどう > イチゴ > みかん
メロン,1,さくらんぼ,2,柿,3,りんご,4,ぶどう,5,イチゴ,6,みかん,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > ぶどう > イチゴ > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,ぶどう,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 犬 > ライオン > 熊 > ネズミ
クジラ,1,犬,2,ライオン,3,熊,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン >> 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア > オパール > ガーネット >> ターコイズ
パール,1,サファイア,2,オパール,3,ガーネット,4,ターコイズ,5
# 珍しい,珍しくない
# サファイア >> オパール > パール >> ガーネット > ターコイズ
サファイア,1,オパール,2,パール,3,ガーネット,4,ターコイズ,5
# 優雅だ,優雅でない
# ハープ > フルート > チェロ > ヴァイオリン > クラリネット
ハープ,1,フルート,2,チェロ,3,ヴァイオリン,4,クラリネット,5
# 心地よい,不快だ
# ハープ > フルート > チェロ > ヴァイオリン > クラリネット
ハープ,1,フルート,2,チェロ,3,ヴァイオリン,4,クラリネット,5
# 綺麗だ,醜い
# サクラ > 桔梗 > すずらん > ひまわり > たんぽぽ
サクラ,1,桔梗,2,すずらん,3,ひまわり,4,たんぽぽ,5
# 好きだ,嫌いだ
# すずらん > 桔梗 > サクラ >> ひまわり > たんぽぽ
すずらん,1,桔梗,2,サクラ,3,ひまわり,4,たんぽぽ,5
# 美味しい,不味い
# サンマルク > ルノアール > コメダ > ドトール > タリーズ
サンマルク,1,ルノアール,2,コメダ,3,ドトール,4,タリーズ,5
# 高い,安い
# サンマルク > タリーズ > ドトール > ルノアール > コメダ
サンマルク,1,タリーズ,2,ドトール,3,ルノアール,4,コメダ,5
# 好調だ,不調だ
# キャノン > 日立製作所 > 富士通 > 東芝 = エプソン > ソニー > パナソニック
キャノン,1,日立製作所,2,富士通,3,東芝,4,エプソン,4,ソニー,6,パナソニック,7
# 新しい,古い
# エプソン > 富士通 > ソニー > 東芝 > 日立製作所 > キャノン > パナソニック
エプソン,1,富士通,2,ソニー,3,東芝,4,日立製作所,5,キャノン,6,パナソニック,7
# 裕福だ,貧乏だ
# イギリス > スペイン > アメリカ > ロシア >> 中国 > タイ > インド
イギリス,1,スペイン,2,アメリカ,3,ロシア,4,中国,5,タイ,6,インド,7
# 広大だ,せまい
# ロシア >> アメリカ > 中国 > インド > スペイン > タイ > イギリス
ロシア,1,アメリカ,2,中国,3,インド,4,スペイン,5,タイ,6,イギリス,7
# 暖かい,寒い
# タイ > インド > スペイン > 中国 > アメリカ > イギリス >> ロシア
タイ,1,インド,2,スペイン,3,中国,4,アメリカ,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > マツダ > ホンダ > ダイハツ > ヤマハ
トヨタ,1,マツダ,2,ホンダ,3,ダイハツ,4,ヤマハ,5
# 有名だ,無名だ
# トヨタ > ホンダ > ダイハツ > マツダ >> ヤマハ
トヨタ,1,ホンダ,2,ダイハツ,3,マツダ,4,ヤマハ,5
# 美味しい,不味い
# 日本酒 > ハイボール > チューハイ > ウイスキー > ビール
日本酒,1,ハイボール,2,チューハイ,3,ウイスキー,4,ビール,5
# 高価だ,安価だ
# ウイスキー > 日本酒 >> ハイボール > チューハイ > ビール
ウイスキー,1,日本酒,2,ハイボール,3,チューハイ,4,ビール,5
# 好きだ,嫌いだ
# ラーメン > カレー > ピザ = ハンバーガー >> チャーハン
ラーメン,1,カレー,2,ピザ,3,ハンバーガー,3,チャーハン,5
# 脂っこい,脂っこくない
# ラーメン > ピザ > ハンバーガー > チャーハン > カレー
ラーメン,1,ピザ,2,ハンバーガー,3,チャーハン,4,カレー,5
# 高価だ,安価だ
# エアコン > カメラ > 洗濯機 > カーナビ > プリンタ
エアコン,1,カメラ,2,洗濯機,3,カーナビ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > カーナビ > プリンタ > エアコン > カメラ
洗濯機,1,カーナビ,2,プリンタ,3,エアコン,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 霧 > 霜 > 雪 > 強風 > 雨 > 雷
晴天,1,霧,2,霜,3,雪,4,強風,5,雨,6,雷,7
# 珍しい,珍しくない
# 雪 > 霜 > 霧 > 強風 > 雷 > 雨 > 晴天
雪,1,霜,2,霧,3,強風,4,雷,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 鶏肉 > 牛肉 = ラム肉 > 豚肉 > 馬肉
鶏肉,1,牛肉,2,ラム肉,2,豚肉,4,馬肉,5
# 高価だ,安価だ
# 馬肉 > ラム肉 > 牛肉 > 豚肉 > 鶏肉
馬肉,1,ラム肉,2,牛肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 薬師寺 > 善光寺 > 中尊寺 > 東寺 > 増上寺
銀閣寺,1,薬師寺,2,善光寺,3,中尊寺,4,東寺,5,増上寺,6
# 立派だ,立派でない
# 薬師寺 > 善光寺 > 銀閣寺 > 東寺 > 中尊寺 > 増上寺
薬師寺,1,善光寺,2,銀閣寺,3,東寺,4,中尊寺,5,増上寺,6
# メジャーだ,マイナーだ
# サッカー > 相撲 > 野球 > バスケ > バレー > テニス > 卓球
サッカー,1,相撲,2,野球,3,バスケ,4,バレー,5,テニス,6,卓球,7
# 得意だ,苦手だ
# バスケ > サッカー > テニス > 卓球 > バレー > 野球 > 相撲
バスケ,1,サッカー,2,テニス,3,卓球,4,バレー,5,野球,6,相撲,7
# 快適だ,不快だ
# 新幹線 > タクシー > 電車 >> バス > 飛行機
新幹線,1,タクシー,2,電車,3,バス,4,飛行機,5
# 速い,遅い
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 可愛い,可愛くない
