# 大きい,小さい
# 白鳥 > ペンギン = にわとり > ふくろう >> すずめ
白鳥,1,ペンギン,2,にわとり,2,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > すずめ = ふくろう > 白鳥 >> にわとり
ペンギン,1,すずめ,2,ふくろう,2,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# もやし > ほうれん草 > 白菜 = きゅうり >> ナス = 玉ねぎ = かぼちゃ
もやし,1,ほうれん草,2,白菜,3,きゅうり,3,ナス,5,玉ねぎ,5,かぼちゃ,5
# 美味しい,不味い
# もやし = ナス > 玉ねぎ > ほうれん草 > きゅうり >> かぼちゃ > 白菜
もやし,1,ナス,1,玉ねぎ,3,ほうれん草,4,きゅうり,5,かぼちゃ,6,白菜,7
# 甘い,甘くない
# りんご > メロン = さくらんぼ = イチゴ > ぶどう = 柿 > みかん
りんご,1,メロン,2,さくらんぼ,2,イチゴ,2,ぶどう,5,柿,5,みかん,7
# 大きい,小さい
# メロン > みかん = 柿 > ぶどう = りんご > イチゴ = さくらんぼ
メロン,1,みかん,2,柿,2,ぶどう,4,りんご,4,イチゴ,6,さくらんぼ,6
# かしこい,ばかだ
# クジラ = ライオン = 犬 > 熊 >> ネズミ
クジラ,1,ライオン,1,犬,1,熊,4,ネズミ,5
# 大きい,小さい
# クジラ >> ライオン = 熊 > 犬 >> ネズミ
クジラ,1,ライオン,2,熊,2,犬,4,ネズミ,5
# 上品だ,下品だ
# パール = サファイア = オパール = ガーネット = ターコイズ
パール,1,サファイア,1,オパール,1,ガーネット,1,ターコイズ,1
# 珍しい,珍しくない
# ターコイズ > ガーネット >> オパール > サファイア = パール
ターコイズ,1,ガーネット,2,オパール,3,サファイア,4,パール,4
# 優雅だ,優雅でない
# ハープ = ヴァイオリン = フルート > チェロ > クラリネット
ハープ,1,ヴァイオリン,1,フルート,1,チェロ,4,クラリネット,5
# 心地よい,不快だ
# ハープ > ヴァイオリン > フルート = チェロ >> クラリネット
ハープ,1,ヴァイオリン,2,フルート,3,チェロ,3,クラリネット,5
# 綺麗だ,醜い
# ひまわり > 桔梗 = サクラ = すずらん >> たんぽぽ
ひまわり,1,桔梗,2,サクラ,2,すずらん,2,たんぽぽ,5
# 好きだ,嫌いだ
# ひまわり > サクラ >> 桔梗 = すずらん = たんぽぽ
ひまわり,1,サクラ,2,桔梗,3,すずらん,3,たんぽぽ,3
# 美味しい,不味い
# サンマルク > コメダ >> タリーズ = ドトール >> ルノアール
サンマルク,1,コメダ,2,タリーズ,3,ドトール,3,ルノアール,5
# 高い,安い
# サンマルク >> タリーズ = ドトール > コメダ > ルノアール
サンマルク,1,タリーズ,2,ドトール,2,コメダ,4,ルノアール,5
# 好調だ,不調だ
# パナソニック > エプソン > キャノン = 富士通 >> 東芝 = ソニー = 日立製作所
パナソニック,1,エプソン,2,キャノン,3,富士通,3,東芝,5,ソニー,5,日立製作所,5
# 新しい,古い
# 富士通 > キャノン > エプソン = 東芝 > ソニー > パナソニック = 日立製作所
富士通,1,キャノン,2,エプソン,3,東芝,3,ソニー,5,パナソニック,6,日立製作所,6
# 裕福だ,貧乏だ
# 中国 = アメリカ > イギリス = ロシア > インド = スペイン = タイ
中国,1,アメリカ,1,イギリス,3,ロシア,3,インド,5,スペイン,5,タイ,5
# 広大だ,せまい
# 中国 = ロシア > スペイン = タイ > インド = アメリカ = イギリス
中国,1,ロシア,1,スペイン,3,タイ,3,インド,5,アメリカ,5,イギリス,5
# 暖かい,寒い
# アメリカ = 中国 > インド = タイ > イギリス > ロシア >> スペイン
アメリカ,1,中国,1,インド,3,タイ,3,イギリス,5,ロシア,6,スペイン,7
# 好調だ,不調だ
# トヨタ = ホンダ = ヤマハ = マツダ > ダイハツ
トヨタ,1,ホンダ,1,ヤマハ,1,マツダ,1,ダイハツ,5
# 有名だ,無名だ
# トヨタ > ホンダ = マツダ = ヤマハ = ダイハツ
トヨタ,1,ホンダ,2,マツダ,2,ヤマハ,2,ダイハツ,2
# 美味しい,不味い
# チューハイ >> ハイボール = ビール = ウイスキー > 日本酒
チューハイ,1,ハイボール,2,ビール,2,ウイスキー,2,日本酒,5
# 高価だ,安価だ
# チューハイ > ハイボール >> ビール >> 日本酒 > ウイスキー
チューハイ,1,ハイボール,2,ビール,3,日本酒,4,ウイスキー,5
# 好きだ,嫌いだ
# チャーハン > カレー = ピザ = ハンバーガー >> ラーメン
チャーハン,1,カレー,2,ピザ,2,ハンバーガー,2,ラーメン,5
# 脂っこい,脂っこくない
# ラーメン = チャーハン > ピザ = カレー = ハンバーガー
ラーメン,1,チャーハン,1,ピザ,3,カレー,3,ハンバーガー,3
# 高価だ,安価だ
# カメラ > エアコン = 洗濯機 > プリンタ = カーナビ
カメラ,1,エアコン,2,洗濯機,2,プリンタ,4,カーナビ,4
# うるさい,静かだ
# 洗濯機 = エアコン > プリンタ = カーナビ >> カメラ
洗濯機,1,エアコン,1,プリンタ,3,カーナビ,3,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 雪 >> 雷 = 強風 = 雨 = 霧 = 霜
晴天,1,雪,2,雷,3,強風,3,雨,3,霧,3,霜,3
# 珍しい,珍しくない
# 霜 > 晴天 = 雪 = 雷 >> 強風 >> 雨 = 霧
霜,1,晴天,2,雪,2,雷,2,強風,5,雨,6,霧,6
# 好きだ,嫌いだ
# 牛肉 = 馬肉 > 豚肉 = 鶏肉 >> ラム肉
牛肉,1,馬肉,1,豚肉,3,鶏肉,3,ラム肉,5
# 高価だ,安価だ
# 馬肉 = 牛肉 = ラム肉 >> 豚肉 = 鶏肉
馬肉,1,牛肉,1,ラム肉,1,豚肉,4,鶏肉,4
# 有名だ,無名だ
# 銀閣寺 > 東寺 > 薬師寺 = 中尊寺 > 善光寺 > 増上寺
銀閣寺,1,東寺,2,薬師寺,3,中尊寺,3,善光寺,5,増上寺,6
# 立派だ,立派でない
# 銀閣寺 = 薬師寺 = 東寺 > 善光寺 = 中尊寺 > 増上寺
銀閣寺,1,薬師寺,1,東寺,1,善光寺,4,中尊寺,4,増上寺,6
# メジャーだ,マイナーだ
# 野球 = 相撲 = サッカー > テニス > バスケ = バレー > 卓球
野球,1,相撲,1,サッカー,1,テニス,4,バスケ,5,バレー,5,卓球,7
# 得意だ,苦手だ
# バスケ > 卓球 >> テニス > バレー >> サッカー = 野球 = 相撲
バスケ,1,卓球,2,テニス,3,バレー,4,サッカー,5,野球,5,相撲,5
# 快適だ,不快だ
# 飛行機 = 新幹線 >> 電車 >> タクシー >> バス
飛行機,1,新幹線,1,電車,3,タクシー,4,バス,5
# 速い,遅い
# 飛行機 > 新幹線 >> 電車 > タクシー = バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,4
# 安全だ,危険だ
# 電車 > タクシー = バス > 新幹線 = 飛行機
電車,1,タクシー,2,バス,2,新幹線,4,飛行機,4
# 可愛い,可愛くない
# 南明奈 = 優香 = 釈由美子 > 吹石一恵 > 梨花 = 北乃きい >> 友近
南明奈,1,優香,1,釈由美子,1,吹石一恵,4,梨花,5,北乃きい,5,友近,7
# 面白い,つまらない
# 友近 = 優香 > 南明奈 > 北乃きい > 梨花 > 釈由美子 = 吹石一恵
友近,1,優香,1,南明奈,3,北乃きい,4,梨花,5,釈由美子,6,吹石一恵,6
# 甘い,甘くない
# ショートケーキ = チョコレートケーキ > シフォンケーキ = チーズケーキ = ロールケーキ
ショートケーキ,1,チョコレートケーキ,1,シフォンケーキ,3,チーズケーキ,3,ロールケーキ,3
# 好きだ,嫌いだ
# チーズケーキ = チョコレートケーキ > ロールケーキ = シフォンケーキ = ショートケーキ
チーズケーキ,1,チョコレートケーキ,1,ロールケーキ,3,シフォンケーキ,3,ショートケーキ,3
# 美味しい,不味い
# マカロン >> カステラ = マフィン >> スコーン = ベーグル
マカロン,1,カステラ,2,マフィン,2,スコーン,4,ベーグル,4
# おしゃれだ,おしゃれでない
# マカロン = スコーン > ベーグル = マフィン > カステラ
マカロン,1,スコーン,1,ベーグル,3,マフィン,3,カステラ,5
# 美味しい,不味い
# オレンジジュース = ココア = 紅茶 > 抹茶 = 緑茶
オレンジジュース,1,ココア,1,紅茶,1,抹茶,4,緑茶,4
# 好きだ,嫌いだ
# カツカレー = 牛タン = 串かつ >> お好み焼き = 讃岐うどん
カツカレー,1,牛タン,1,串かつ,1,お好み焼き,4,讃岐うどん,4
# 高価だ,安価だ
# カツカレー > 牛タン > 讃岐うどん >> お好み焼き = 串かつ
カツカレー,1,牛タン,2,讃岐うどん,3,お好み焼き,4,串かつ,4
# 暖かい,寒い
# 沖縄 > 福岡 > 東京 > 大阪 = 神戸 = 名古屋 >> 札幌
沖縄,1,福岡,2,東京,3,大阪,4,神戸,4,名古屋,4,札幌,7
# 遠い,近い
