# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > にわとり > すずめ
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > すずめ > ふくろう > 白鳥 > にわとり
ペンギン,1,すずめ,2,ふくろう,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# 玉ねぎ = 白菜 = もやし = きゅうり > ほうれん草 > ナス > かぼちゃ
玉ねぎ,1,白菜,1,もやし,1,きゅうり,1,ほうれん草,5,ナス,6,かぼちゃ,7
# 美味しい,不味い
# 白菜 = 玉ねぎ > ナス > ほうれん草 > かぼちゃ > きゅうり > もやし
白菜,1,玉ねぎ,1,ナス,3,ほうれん草,4,かぼちゃ,5,きゅうり,6,もやし,7
# 甘い,甘くない
# メロン > ぶどう > イチゴ > 柿 > さくらんぼ > りんご > みかん
メロン,1,ぶどう,2,イチゴ,3,柿,4,さくらんぼ,5,りんご,6,みかん,7
# 大きい,小さい
# メロン > ぶどう > りんご > 柿 > みかん > イチゴ > さくらんぼ
メロン,1,ぶどう,2,りんご,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 犬 > 熊 > ライオン > ネズミ
クジラ,1,犬,2,熊,3,ライオン,4,ネズミ,5
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア = オパール > ガーネット > ターコイズ
パール,1,サファイア,2,オパール,2,ガーネット,4,ターコイズ,5
# 珍しい,珍しくない
# サファイア >> ガーネット = パール = オパール >> ターコイズ
サファイア,1,ガーネット,2,パール,2,オパール,2,ターコイズ,5
# 優雅だ,優雅でない
# ヴァイオリン > ハープ > フルート = クラリネット = チェロ
ヴァイオリン,1,ハープ,2,フルート,3,クラリネット,3,チェロ,3
# 心地よい,不快だ
# ヴァイオリン >> クラリネット = ハープ > フルート = チェロ
ヴァイオリン,1,クラリネット,2,ハープ,2,フルート,4,チェロ,4
# 綺麗だ,醜い
# サクラ > 桔梗 > すずらん > ひまわり > たんぽぽ
サクラ,1,桔梗,2,すずらん,3,ひまわり,4,たんぽぽ,5
# 好きだ,嫌いだ
# サクラ > 桔梗 = すずらん >> たんぽぽ > ひまわり
サクラ,1,桔梗,2,すずらん,2,たんぽぽ,4,ひまわり,5
# 美味しい,不味い
# サンマルク = タリーズ > ドトール = ルノアール > コメダ
サンマルク,1,タリーズ,1,ドトール,3,ルノアール,3,コメダ,5
# 高い,安い
# コメダ > サンマルク = タリーズ = ルノアール > ドトール
コメダ,1,サンマルク,2,タリーズ,2,ルノアール,2,ドトール,5
# 好調だ,不調だ
# 東芝 > キャノン = エプソン > 富士通 > 日立製作所 > パナソニック > ソニー
東芝,1,キャノン,2,エプソン,2,富士通,4,日立製作所,5,パナソニック,6,ソニー,7
# 新しい,古い
# キャノン = エプソン > 富士通 > 東芝 > ソニー > パナソニック = 日立製作所
キャノン,1,エプソン,1,富士通,3,東芝,4,ソニー,5,パナソニック,6,日立製作所,6
# 裕福だ,貧乏だ
# アメリカ > イギリス > スペイン > インド = 中国 = ロシア = タイ
アメリカ,1,イギリス,2,スペイン,3,インド,4,中国,4,ロシア,4,タイ,4
# 広大だ,せまい
# ロシア > アメリカ > 中国 > インド > スペイン > イギリス > タイ
ロシア,1,アメリカ,2,中国,3,インド,4,スペイン,5,イギリス,6,タイ,7
# 暖かい,寒い
# タイ > インド > スペイン > 中国 > アメリカ = イギリス > ロシア
タイ,1,インド,2,スペイン,3,中国,4,アメリカ,5,イギリス,5,ロシア,7
# 好調だ,不調だ
# トヨタ > マツダ > ホンダ = ダイハツ > ヤマハ
トヨタ,1,マツダ,2,ホンダ,3,ダイハツ,3,ヤマハ,5
# 有名だ,無名だ
# トヨタ > ヤマハ > マツダ = ホンダ > ダイハツ
トヨタ,1,ヤマハ,2,マツダ,3,ホンダ,3,ダイハツ,5
# 美味しい,不味い
# 日本酒 = チューハイ > ハイボール = ビール > ウイスキー
日本酒,1,チューハイ,1,ハイボール,3,ビール,3,ウイスキー,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ビール > ハイボール > チューハイ
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
