# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > にわとり >> すずめ
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ふくろう = すずめ = ペンギン > にわとり > 白鳥
ふくろう,1,すずめ,1,ペンギン,1,にわとり,4,白鳥,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 = きゅうり > もやし > 玉ねぎ = 白菜 > ナス = かぼちゃ
ほうれん草,1,きゅうり,1,もやし,3,玉ねぎ,4,白菜,4,ナス,6,かぼちゃ,6
# 美味しい,不味い
# ナス = かぼちゃ > きゅうり > 玉ねぎ = もやし > ほうれん草 = 白菜
ナス,1,かぼちゃ,1,きゅうり,3,玉ねぎ,4,もやし,4,ほうれん草,6,白菜,6
# 甘い,甘くない
# メロン > イチゴ = ぶどう > 柿 > さくらんぼ > りんご >> みかん
メロン,1,イチゴ,2,ぶどう,2,柿,4,さくらんぼ,5,りんご,6,みかん,7
# 大きい,小さい
# メロン >> りんご > 柿 > みかん >> ぶどう > イチゴ >> さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,ぶどう,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 = クジラ > ライオン > 熊 > ネズミ
犬,1,クジラ,1,ライオン,3,熊,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# ガーネット > パール = サファイア > オパール = ターコイズ
ガーネット,1,パール,2,サファイア,2,オパール,4,ターコイズ,4
# 珍しい,珍しくない
# ターコイズ = ガーネット > オパール >> パール = サファイア
ターコイズ,1,ガーネット,1,オパール,3,パール,4,サファイア,4
# 優雅だ,優雅でない
# ハープ > フルート = チェロ = ヴァイオリン >> クラリネット
ハープ,1,フルート,2,チェロ,2,ヴァイオリン,2,クラリネット,5
# 心地よい,不快だ
# ヴァイオリン > フルート = ハープ > チェロ = クラリネット
