# 大きい,小さい
# 白鳥 > ペンギン > にわとり > ふくろう > すずめ
白鳥,1,ペンギン,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > ふくろう > すずめ > 白鳥 > にわとり
ペンギン,1,ふくろう,2,すずめ,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# もやし > きゅうり > 白菜 > 玉ねぎ > ほうれん草 > ナス > かぼちゃ
もやし,1,きゅうり,2,白菜,3,玉ねぎ,4,ほうれん草,5,ナス,6,かぼちゃ,7
# 美味しい,不味い
# もやし > 玉ねぎ > きゅうり > かぼちゃ > 白菜 > ほうれん草 > ナス
もやし,1,玉ねぎ,2,きゅうり,3,かぼちゃ,4,白菜,5,ほうれん草,6,ナス,7
# 甘い,甘くない
# メロン > さくらんぼ > みかん > ぶどう > 柿 > りんご > イチゴ
メロン,1,さくらんぼ,2,みかん,3,ぶどう,4,柿,5,りんご,6,イチゴ,7
# 大きい,小さい
# メロン > ぶどう > りんご > みかん > 柿 > イチゴ > さくらんぼ
メロン,1,ぶどう,2,りんご,3,みかん,4,柿,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > ライオン > 熊 > クジラ > ネズミ
犬,1,ライオン,2,熊,3,クジラ,4,ネズミ,5
# 大きい,小さい
# クジラ > 熊 = ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,2,犬,4,ネズミ,5
# 上品だ,下品だ
# サファイア > パール > ガーネット > オパール > ターコイズ
サファイア,1,パール,2,ガーネット,3,オパール,4,ターコイズ,5
# 珍しい,珍しくない
# サファイア > ガーネット > オパール > パール > ターコイズ
サファイア,1,ガーネット,2,オパール,3,パール,4,ターコイズ,5
# 優雅だ,優雅でない
# ハープ > ヴァイオリン > フルート > チェロ > クラリネット
ハープ,1,ヴァイオリン,2,フルート,3,チェロ,4,クラリネット,5
# 心地よい,不快だ
# ハープ > ヴァイオリン > フルート > クラリネット > チェロ
ハープ,1,ヴァイオリン,2,フルート,3,クラリネット,4,チェロ,5
# 綺麗だ,醜い
# サクラ > 桔梗 > すずらん > ひまわり > たんぽぽ
サクラ,1,桔梗,2,すずらん,3,ひまわり,4,たんぽぽ,5
# 好きだ,嫌いだ
# サクラ > 桔梗 > ひまわり > すずらん > たんぽぽ
サクラ,1,桔梗,2,ひまわり,3,すずらん,4,たんぽぽ,5
# 美味しい,不味い
# コメダ > サンマルク > ドトール > タリーズ > ルノアール
コメダ,1,サンマルク,2,ドトール,3,タリーズ,4,ルノアール,5
# 高い,安い
# ルノアール > コメダ > ドトール > サンマルク > タリーズ
ルノアール,1,コメダ,2,ドトール,3,サンマルク,4,タリーズ,5
# 好調だ,不調だ
# ソニー > パナソニック = 東芝 = 富士通 > キャノン = エプソン > 日立製作所
ソニー,1,パナソニック,2,東芝,2,富士通,2,キャノン,5,エプソン,5,日立製作所,7
# 新しい,古い
# キャノン > エプソン > 富士通 > ソニー > パナソニック > 東芝 > 日立製作所
キャノン,1,エプソン,2,富士通,3,ソニー,4,パナソニック,5,東芝,6,日立製作所,7
# 裕福だ,貧乏だ
# アメリカ >> ロシア > イギリス = スペイン > 中国 > タイ = インド
アメリカ,1,ロシア,2,イギリス,3,スペイン,3,中国,5,タイ,6,インド,6
# 広大だ,せまい
# ロシア > アメリカ > 中国 >> インド > タイ > イギリス > スペイン
ロシア,1,アメリカ,2,中国,3,インド,4,タイ,5,イギリス,6,スペイン,7
# 暖かい,寒い
# インド > タイ > スペイン > アメリカ > イギリス > 中国 > ロシア
インド,1,タイ,2,スペイン,3,アメリカ,4,イギリス,5,中国,6,ロシア,7
# 好調だ,不調だ
# ヤマハ > トヨタ > マツダ > ダイハツ > ホンダ
ヤマハ,1,トヨタ,2,マツダ,3,ダイハツ,4,ホンダ,5
# 有名だ,無名だ
# トヨタ > ヤマハ > マツダ > ホンダ > ダイハツ
トヨタ,1,ヤマハ,2,マツダ,3,ホンダ,4,ダイハツ,5
# 美味しい,不味い
# チューハイ > ハイボール > ウイスキー > ビール > 日本酒
チューハイ,1,ハイボール,2,ウイスキー,3,ビール,4,日本酒,5
# 高価だ,安価だ
# 日本酒 > ウイスキー > ハイボール > チューハイ = ビール
日本酒,1,ウイスキー,2,ハイボール,3,チューハイ,4,ビール,4
# 好きだ,嫌いだ
# ラーメン >> ハンバーガー > ピザ > チャーハン = カレー
ラーメン,1,ハンバーガー,2,ピザ,3,チャーハン,4,カレー,4
# 脂っこい,脂っこくない
# ラーメン > ピザ > ハンバーガー > チャーハン > カレー
ラーメン,1,ピザ,2,ハンバーガー,3,チャーハン,4,カレー,5
# 高価だ,安価だ
# エアコン > 洗濯機 > カーナビ > カメラ > プリンタ
エアコン,1,洗濯機,2,カーナビ,3,カメラ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 >> エアコン > プリンタ >> カメラ > カーナビ
洗濯機,1,エアコン,2,プリンタ,3,カメラ,4,カーナビ,5
# 好きだ,嫌いだ
# 晴天 > 霜 > 霧 > 強風 > 雪 > 雷 > 雨
晴天,1,霜,2,霧,3,強風,4,雪,5,雷,6,雨,7
# 珍しい,珍しくない
# 霧 > 霜 > 雪 > 雷 > 強風 > 雨 > 晴天
霧,1,霜,2,雪,3,雷,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 牛肉 = ラム肉 > 豚肉 = 鶏肉 > 馬肉
牛肉,1,ラム肉,1,豚肉,3,鶏肉,3,馬肉,5
# 高価だ,安価だ
# 馬肉 > ラム肉 > 牛肉 > 豚肉 > 鶏肉
馬肉,1,ラム肉,2,牛肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 >> 東寺 > 薬師寺 > 増上寺 > 善光寺 > 中尊寺
銀閣寺,1,東寺,2,薬師寺,3,増上寺,4,善光寺,5,中尊寺,6
# 立派だ,立派でない
# 薬師寺 > 東寺 > 中尊寺 > 増上寺 > 善光寺 > 銀閣寺
薬師寺,1,東寺,2,中尊寺,3,増上寺,4,善光寺,5,銀閣寺,6
# メジャーだ,マイナーだ
# 野球 = サッカー > バレー = バスケ > 卓球 = テニス >> 相撲
