# 大きい,小さい
# 白鳥 > ペンギン > にわとり > ふくろう > すずめ
白鳥,1,ペンギン,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > ふくろう > すずめ > 白鳥 = にわとり
ペンギン,1,ふくろう,2,すずめ,3,白鳥,4,にわとり,4
# ヘルシーだ,ヘルシーでない
# きゅうり = もやし > ほうれん草 = 玉ねぎ = 白菜 = ナス > かぼちゃ
きゅうり,1,もやし,1,ほうれん草,3,玉ねぎ,3,白菜,3,ナス,3,かぼちゃ,7
# 美味しい,不味い
# ほうれん草 > きゅうり = もやし = 玉ねぎ = 白菜 = ナス > かぼちゃ
ほうれん草,1,きゅうり,2,もやし,2,玉ねぎ,2,白菜,2,ナス,2,かぼちゃ,7
# 甘い,甘くない
# イチゴ = さくらんぼ > みかん = りんご = メロン = 柿 = ぶどう
イチゴ,1,さくらんぼ,1,みかん,3,りんご,3,メロン,3,柿,3,ぶどう,3
# 大きい,小さい
# メロン >> りんご = みかん = 柿 = ぶどう > イチゴ = さくらんぼ
メロン,1,りんご,2,みかん,2,柿,2,ぶどう,2,イチゴ,6,さくらんぼ,6
# かしこい,ばかだ
# 犬 > 熊 > ネズミ > ライオン > クジラ
犬,1,熊,2,ネズミ,3,ライオン,4,クジラ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > ネズミ > 犬
クジラ,1,熊,2,ライオン,3,ネズミ,4,犬,5
# 上品だ,下品だ
# パール >> サファイア = オパール = ガーネット = ターコイズ
パール,1,サファイア,2,オパール,2,ガーネット,2,ターコイズ,2
# 珍しい,珍しくない
# オパール > サファイア = ガーネット = ターコイズ > パール
オパール,1,サファイア,2,ガーネット,2,ターコイズ,2,パール,5
# 優雅だ,優雅でない
# ハープ > チェロ = フルート = ヴァイオリン > クラリネット
ハープ,1,チェロ,2,フルート,2,ヴァイオリン,2,クラリネット,5
# 心地よい,不快だ
# チェロ > フルート >> ヴァイオリン = ハープ > クラリネット
チェロ,1,フルート,2,ヴァイオリン,3,ハープ,3,クラリネット,5
# 綺麗だ,醜い
# サクラ > ひまわり = 桔梗 = すずらん = たんぽぽ
サクラ,1,ひまわり,2,桔梗,2,すずらん,2,たんぽぽ,2
# 好きだ,嫌いだ
# 桔梗 > サクラ = ひまわり = すずらん = たんぽぽ
桔梗,1,サクラ,2,ひまわり,2,すずらん,2,たんぽぽ,2
# 美味しい,不味い
# ドトール >> サンマルク = タリーズ > コメダ = ルノアール
ドトール,1,サンマルク,2,タリーズ,2,コメダ,4,ルノアール,4
# 高い,安い
# ルノアール > ドトール = サンマルク = タリーズ = コメダ
ルノアール,1,ドトール,2,サンマルク,2,タリーズ,2,コメダ,2
# 好調だ,不調だ
# ソニー > パナソニック = 東芝 = 富士通 = キャノン = エプソン > 日立製作所
ソニー,1,パナソニック,2,東芝,2,富士通,2,キャノン,2,エプソン,2,日立製作所,7
# 新しい,古い
# 日立製作所 > ソニー = パナソニック = 東芝 = 富士通 = キャノン = エプソン
日立製作所,1,ソニー,2,パナソニック,2,東芝,2,富士通,2,キャノン,2,エプソン,2
# 裕福だ,貧乏だ
# アメリカ = ロシア > 中国 = イギリス > スペイン > タイ = インド
アメリカ,1,ロシア,1,中国,3,イギリス,3,スペイン,5,タイ,6,インド,6
# 広大だ,せまい
# 中国 = ロシア = アメリカ > タイ = インド = イギリス = スペイン
中国,1,ロシア,1,アメリカ,1,タイ,4,インド,4,イギリス,4,スペイン,4
# 暖かい,寒い
# タイ = インド > スペイン > 中国 > アメリカ > ロシア = イギリス
タイ,1,インド,1,スペイン,3,中国,4,アメリカ,5,ロシア,6,イギリス,6
# 好調だ,不調だ
# ダイハツ > トヨタ = ホンダ = ヤマハ > マツダ
ダイハツ,1,トヨタ,2,ホンダ,2,ヤマハ,2,マツダ,5
# 有名だ,無名だ
# トヨタ = ホンダ > ヤマハ = マツダ = ダイハツ
トヨタ,1,ホンダ,1,ヤマハ,3,マツダ,3,ダイハツ,3
# 美味しい,不味い
# 日本酒 > ハイボール > ウイスキー > チューハイ > ビール
日本酒,1,ハイボール,2,ウイスキー,3,チューハイ,4,ビール,5
# 高価だ,安価だ
# 日本酒 > ウイスキー > ビール = チューハイ = ハイボール
日本酒,1,ウイスキー,2,ビール,3,チューハイ,3,ハイボール,3
# 好きだ,嫌いだ
# ピザ = カレー > ハンバーガー = ラーメン = チャーハン
ピザ,1,カレー,1,ハンバーガー,3,ラーメン,3,チャーハン,3
# 脂っこい,脂っこくない
# ピザ = ラーメン = カレー = チャーハン > ハンバーガー
ピザ,1,ラーメン,1,カレー,1,チャーハン,1,ハンバーガー,5
# 高価だ,安価だ
# カーナビ = 洗濯機 = エアコン > カメラ = プリンタ
カーナビ,1,洗濯機,1,エアコン,1,カメラ,4,プリンタ,4
# うるさい,静かだ
# 洗濯機 > プリンタ = カーナビ = カメラ > エアコン
洗濯機,1,プリンタ,2,カーナビ,2,カメラ,2,エアコン,5
# 好きだ,嫌いだ
# 晴天 = 雪 > 雨 > 雷 = 霧 = 強風 = 霜
晴天,1,雪,1,雨,3,雷,4,霧,4,強風,4,霜,4
# 珍しい,珍しくない
# 霧 = 雷 = 霜 > 雨 = 雪 = 強風 = 晴天
霧,1,雷,1,霜,1,雨,4,雪,4,強風,4,晴天,4
# 好きだ,嫌いだ
# 鶏肉 = 豚肉 = ラム肉 > 馬肉 = 牛肉
鶏肉,1,豚肉,1,ラム肉,1,馬肉,4,牛肉,4
# 高価だ,安価だ
# 馬肉 > 牛肉 > 豚肉 = ラム肉 > 鶏肉
馬肉,1,牛肉,2,豚肉,3,ラム肉,3,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 = 薬師寺 = 中尊寺 = 東寺 > 善光寺 = 増上寺
銀閣寺,1,薬師寺,1,中尊寺,1,東寺,1,善光寺,5,増上寺,5
# 立派だ,立派でない
# 銀閣寺 = 中尊寺 > 善光寺 = 薬師寺 = 増上寺 = 東寺
銀閣寺,1,中尊寺,1,善光寺,3,薬師寺,3,増上寺,3,東寺,3
# メジャーだ,マイナーだ
# サッカー = 野球 > テニス = バスケ > 卓球 = バレー > 相撲
